"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2014","2014","PER","Persons","0","Units",,,3381,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2015","2015","PER","Persons","0","Units",,,3428,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2016","2016","PER","Persons","0","Units",,,3283,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2017","2017","PER","Persons","0","Units",,,3378,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2018","2018","PER","Persons","0","Units",,,3325,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2019","2019","PER","Persons","0","Units",,,3173,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2020","2020","PER","Persons","0","Units",,,2395,,
"ITA","Italy","T-ACCI-KIL","Road fatalities (30 days)","2021","2021","PER","Persons","0","Units",,,2875,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2000","2000","PER","Persons","0","Units",,,43658,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2001","2001","PER","Persons","0","Units",,,43823,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2002","2002","PER","Persons","0","Units",,,40318,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2003","2003","PER","Persons","0","Units",,,36114,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2004","2004","PER","Persons","0","Units",,,35877,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2005","2005","PER","Persons","0","Units",,,36978,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2006","2006","PER","Persons","0","Units",,,38144,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2007","2007","PER","Persons","0","Units",,,38978,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2008","2008","PER","Persons","0","Units",,,38148,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2009","2009","PER","Persons","0","Units",,,36525,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2010","2010","PER","Persons","0","Units",,,33241,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2011","2011","PER","Persons","0","Units",,,30454,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2012","2012","PER","Persons","0","Units",,,29284,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2013","2013","PER","Persons","0","Units",,,24878,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2014","2014","PER","Persons","0","Units",,,21288,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2015","2015","PER","Persons","0","Units",,,19285,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2016","2016","PER","Persons","0","Units",,,14551,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2017","2017","PER","Persons","0","Units",,,11831,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2018","2018","PER","Persons","0","Units",,,11755,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2019","2019","PER","Persons","0","Units",,,11545,,
"MEX","Mexico","T-ACCI-CAS","Road casualties (injured + killed)","2020","2020","PER","Persons","0","Units",,,9428,,
"ESP","Spain","T-ACCI-INJ","Road injured","2000","2000","PER","Persons","0","Units",,,149781,,
"ESP","Spain","T-ACCI-INJ","Road injured","2001","2001","PER","Persons","0","Units",,,149599,,
"ESP","Spain","T-ACCI-INJ","Road injured","2002","2002","PER","Persons","0","Units",,,146917,,
"ESP","Spain","T-ACCI-INJ","Road injured","2003","2003","PER","Persons","0","Units",,,150635,,
"ESP","Spain","T-ACCI-INJ","Road injured","2004","2004","PER","Persons","0","Units",,,138383,,
"ESP","Spain","T-ACCI-INJ","Road injured","2005","2005","PER","Persons","0","Units",,,132809,,
"ESP","Spain","T-ACCI-INJ","Road injured","2006","2006","PER","Persons","0","Units",,,143450,,
"ESP","Spain","T-ACCI-INJ","Road injured","2007","2007","PER","Persons","0","Units",,,142521,,
"ESP","Spain","T-ACCI-INJ","Road injured","2008","2008","PER","Persons","0","Units",,,130947,,
"ESP","Spain","T-ACCI-INJ","Road injured","2009","2009","PER","Persons","0","Units",,,124966,,
"ESP","Spain","T-ACCI-INJ","Road injured","2010","2010","PER","Persons","0","Units",,,120345,,
"ESP","Spain","T-ACCI-INJ","Road injured","2011","2011","PER","Persons","0","Units",,,115627,,
"ESP","Spain","T-ACCI-INJ","Road injured","2012","2012","PER","Persons","0","Units",,,115890,,
"ESP","Spain","T-ACCI-INJ","Road injured","2013","2013","PER","Persons","0","Units",,,124720,,
"ESP","Spain","T-ACCI-INJ","Road injured","2014","2014","PER","Persons","0","Units",,,126632,,
"ESP","Spain","T-ACCI-INJ","Road injured","2015","2015","PER","Persons","0","Units",,,134455,,
"ESP","Spain","T-ACCI-INJ","Road injured","2016","2016","PER","Persons","0","Units",,,140390,,
"ESP","Spain","T-ACCI-INJ","Road injured","2017","2017","PER","Persons","0","Units",,,139162,,
"ESP","Spain","T-ACCI-INJ","Road injured","2018","2018","PER","Persons","0","Units",,,138609,,
"ESP","Spain","T-ACCI-INJ","Road injured","2019","2019","PER","Persons","0","Units",,,139358,,
"ESP","Spain","T-ACCI-INJ","Road injured","2020","2020","PER","Persons","0","Units",,,94562,,
"DEU","Germany","T-ACCI-CAS","Road casualties (injured + killed)","2000","2000","PER","Persons","0","Units",,,511577,,
